,Date,HourlyPrice,Close,High,Low
0,2020-10-01,10517.04,10486.25,10531.57,10472.35
1,2020-10-01,10725.63,10517.04,10725.63,10454.66
2,2020-10-01,10865.81,10725.63,10893.3,10719.06
3,2020-10-01,10869.83,10865.81,10871.71,10844.28
4,2020-10-01,10894.91,10869.83,10898.59,10863.49
5,2020-10-01,10905.39,10894.91,10908.84,10870.25
6,2020-10-01,10874.26,10905.39,10905.39,10863.09
7,2020-10-01,10903.55,10874.26,10917.09,10859.1
8,2020-10-01,10884.24,10903.55,10909.73,10884.24
9,2020-10-01,10832.73,10884.24,10926.47,10826.84
10,2020-10-01,10826.1,10832.73,10845.55,10814.26
11,2020-10-01,10826.65,10826.1,10850.75,10821.05
12,2020-10-01,10486.25,10590.48,10596.81,10469.92
13,2020-10-01,10801.63,10811.53,10831.36,10801.0
14,2020-10-01,10811.53,10826.65,10830.83,10802.17
15,2020-10-01,10619.48,10609.82,10621.66,10570.07
16,2020-10-01,10609.82,10593.98,10629.24,10591.54
17,2020-10-01,10711.59,10747.01,10761.85,10707.29
18,2020-10-01,10590.48,10619.48,10641.49,10569.82
19,2020-10-01,10779.42,10789.51,10828.0,10779.42
20,2020-10-01,10789.51,10841.29,10847.42,10789.51
21,2020-10-01,10841.29,10822.27,10857.04,10817.85
22,2020-10-01,10822.27,10801.63,10828.49,10799.43
23,2020-10-01,10747.01,10779.42,10787.14,10745.38
24,2020-10-02,10494.82,10534.94,10578.86,10446.63
25,2020-10-02,10548.0,10477.11,10559.89,10473.88
26,2020-10-02,10523.95,10548.0,10557.79,10516.26
27,2020-10-02,10558.13,10523.95,10558.13,10523.48
28,2020-10-02,10545.5,10558.13,10559.68,10534.14
29,2020-10-02,10552.49,10545.5,10566.5,10529.38
30,2020-10-02,10521.64,10552.49,10567.17,10503.77
31,2020-10-02,10529.41,10521.64,10550.04,10512.88
32,2020-10-02,10534.94,10529.41,10552.31,10513.19
33,2020-10-02,10444.55,10494.82,10498.67,10441.49
34,2020-10-02,10466.91,10444.55,10485.39,10442.85
35,2020-10-02,10609.53,10622.79,10623.2,10597.48
36,2020-10-02,10593.98,10609.53,10638.11,10582.49
37,2020-10-02,10451.75,10466.91,10471.23,10388.07
38,2020-10-02,10622.79,10596.51,10622.79,10591.47
39,2020-10-02,10596.51,10594.02,10620.84,10592.06
40,2020-10-02,10604.83,10647.3,10651.43,10603.87
41,2020-10-02,10594.02,10604.83,10619.81,10594.02
42,2020-10-02,10597.02,10443.89,10597.02,10397.95
43,2020-10-02,10443.89,10507.24,10529.74,10418.13
44,2020-10-02,10507.24,10500.01,10523.33,10477.7
45,2020-10-02,10500.01,10461.12,10500.01,10443.92
46,2020-10-02,10461.12,10451.75,10487.57,10432.48
47,2020-10-02,10647.3,10597.02,10668.49,10594.28
48,2020-10-03,10544.74,10554.94,10563.36,10540.95
49,2020-10-03,10542.09,10540.71,10555.35,10534.58
50,2020-10-03,10540.71,10544.74,10553.25,10536.85
51,2020-10-03,10554.94,10587.69,10602.28,10545.76
52,2020-10-03,10544.95,10542.09,10549.01,10530.64
53,2020-10-03,10588.15,10583.53,10596.03,10577.71
54,2020-10-03,10583.53,10594.44,10601.3,10581.45
55,2020-10-03,10594.44,10575.52,10599.7,10572.21
56,2020-10-03,10575.52,10585.15,10585.37,10568.47
57,2020-10-03,10587.69,10588.15,10589.85,10571.95
58,2020-10-03,10552.09,10544.95,10566.44,10538.69
59,2020-10-03,10563.66,10576.64,10580.32,10558.76
60,2020-10-03,10516.7,10531.92,10544.04,10514.85
61,2020-10-03,10531.92,10552.09,10552.99,10528.84
62,2020-10-03,10576.64,10554.2,10580.75,10540.11
63,2020-10-03,10554.2,10539.5,10560.37,10532.07
64,2020-10-03,10539.5,10547.19,10552.53,10528.28
65,2020-10-03,10547.19,10557.35,10564.14,10539.99
66,2020-10-03,10477.11,10563.66,10580.62,10474.71
67,2020-10-03,10562.84,10545.37,10566.09,10539.84
68,2020-10-03,10545.37,10533.32,10553.36,10507.49
69,2020-10-03,10533.32,10534.28,10538.0,10520.17
70,2020-10-03,10534.28,10516.7,10556.48,10510.85
71,2020-10-03,10557.35,10562.84,10565.57,10549.78
72,2020-10-04,10608.35,10610.24,10612.29,10582.84
73,2020-10-04,10655.42,10661.16,10677.05,10652.9
74,2020-10-04,10685.04,10655.42,10698.91,10651.95
75,2020-10-04,10646.49,10685.04,10699.94,10646.24
76,2020-10-04,10622.81,10646.49,10652.34,10614.91
77,2020-10-04,10614.27,10622.81,10623.61,10611.46
78,2020-10-04,10607.42,10614.27,10622.19,10598.12
79,2020-10-04,10613.58,10607.42,10624.46,10604.64
80,2020-10-04,10615.69,10613.58,10617.77,10602.28
81,2020-10-04,10610.24,10615.69,10625.2,10606.52
82,2020-10-04,10589.96,10608.35,10614.57,10582.34
83,2020-10-04,10566.38,10552.04,10577.77,10548.87
84,2020-10-04,10605.22,10604.44,10611.02,10594.27
85,2020-10-04,10552.04,10555.0,10575.18,10541.48
86,2020-10-04,10555.0,10550.43,10555.22,10534.5
87,2020-10-04,10550.43,10558.37,10559.86,10542.42
88,2020-10-04,10558.37,10554.44,10566.43,10552.74
89,2020-10-04,10585.15,10566.38,10586.22,10548.48
90,2020-10-04,10577.66,10574.8,10588.81,10574.13
91,2020-10-04,10574.8,10626.9,10638.67,10573.87
92,2020-10-04,10626.9,10618.66,10635.82,10613.63
93,2020-10-04,10618.66,10605.22,10626.81,10598.1
94,2020-10-04,10554.44,10577.66,10585.15,10554.29
95,2020-10-04,10604.44,10589.96,10607.1,10579.91
96,2020-10-05,10671.87,10698.64,10701.06,10664.53
97,2020-10-05,10742.79,10742.91,10763.11,10740.3
98,2020-10-05,10736.97,10742.79,10757.29,10734.25
99,2020-10-05,10717.57,10736.97,10742.37,10714.79
100,2020-10-05,10699.69,10717.57,10718.17,10686.14
101,2020-10-05,10747.81,10699.69,10748.02,10696.8
102,2020-10-05,10727.66,10747.81,10748.17,10708.27
103,2020-10-05,10729.35,10727.66,10737.56,10713.74
104,2020-10-05,10730.54,10729.35,10775.42,10720.45
105,2020-10-05,10698.64,10730.54,10733.74,10698.64
106,2020-10-05,10683.27,10671.87,10698.39,10670.82
107,2020-10-05,10679.13,10685.73,10693.36,10672.92
108,2020-10-05,10685.73,10683.27,10688.9,10665.49
109,2020-10-05,10665.52,10675.52,10679.43,10657.55
110,2020-10-05,10675.52,10710.52,10742.69,10666.2
111,2020-10-05,10661.16,10665.52,10687.56,10656.3
112,2020-10-05,10700.12,10717.57,10718.84,10697.27
113,2020-10-05,10710.52,10700.12,10712.38,10696.36
114,2020-10-05,10676.18,10662.91,10679.51,10653.97
115,2020-10-05,10662.91,10682.86,10684.35,10662.83
116,2020-10-05,10682.86,10647.08,10682.86,10627.77
117,2020-10-05,10647.08,10696.2,10699.36,10639.93
118,2020-10-05,10696.2,10679.13,10701.53,10678.56
119,2020-10-05,10717.57,10676.18,10721.02,10675.15
120,2020-10-06,10702.29,10680.64,10718.87,10677.74
121,2020-10-06,10680.64,10676.5,10703.36,10660.05
122,2020-10-06,10676.5,10737.7,10748.74,10627.32
123,2020-10-06,10737.7,10725.89,10747.82,10718.43
124,2020-10-06,10698.23,10702.29,10723.02,10690.78
125,2020-10-06,10715.17,10606.67,10738.14,10588.38
126,2020-10-06,10606.67,10575.63,10606.96,10537.51
127,2020-10-06,10575.63,10549.56,10577.74,10534.12
128,2020-10-06,10549.56,10575.19,10583.39,10533.32
129,2020-10-06,10725.89,10715.17,10734.6,10708.4
130,2020-10-06,10708.21,10698.23,10710.11,10664.39
131,2020-10-06,10770.62,10751.76,10770.7,10745.53
132,2020-10-06,10740.23,10747.9,10752.23,10733.94
133,2020-10-06,10742.91,10753.23,10771.88,10742.91
134,2020-10-06,10747.9,10708.21,10751.84,10708.2
135,2020-10-06,10795.11,10760.56,10801.66,10753.95
136,2020-10-06,10760.56,10769.32,10777.71,10748.98
137,2020-10-06,10769.32,10767.43,10796.52,10765.72
138,2020-10-06,10753.23,10795.11,10799.53,10743.45
139,2020-10-06,10770.02,10770.62,10785.64,10767.58
140,2020-10-06,10751.76,10747.51,10758.12,10737.66
141,2020-10-06,10717.68,10740.23,10741.97,10709.26
142,2020-10-06,10747.51,10717.68,10769.84,10712.79
143,2020-10-06,10767.43,10770.02,10789.62,10760.04
144,2020-10-07,10661.05,10661.73,10669.08,10660.43
145,2020-10-07,10652.72,10661.05,10664.91,10646.69
146,2020-10-07,10661.71,10652.72,10679.76,10650.89
147,2020-10-07,10638.85,10661.71,10662.9,10633.96
148,2020-10-07,10630.89,10638.85,10648.24,10620.64
149,2020-10-07,10632.53,10630.89,10638.5,10608.49
150,2020-10-07,10631.99,10632.53,10650.5,10618.74
151,2020-10-07,10628.83,10618.3,10640.89,10616.79
152,2020-10-07,10608.01,10628.83,10636.05,10607.66
153,2020-10-07,10603.49,10608.01,10613.03,10589.72
154,2020-10-07,10618.3,10631.99,10631.99,10601.79
155,2020-10-07,10616.05,10593.17,10620.67,10592.13
156,2020-10-07,10590.91,10603.9,10613.62,10580.5
157,2020-10-07,10593.17,10603.49,10606.1,10581.2
158,2020-10-07,10603.9,10596.48,10605.53,10584.57
159,2020-10-07,10596.48,10588.25,10600.01,10554.41
160,2020-10-07,10575.19,10590.91,10599.86,10568.89
