,Date,HourlyPrice
0,2020-11-02,394.0
1,2020-11-02,402.0
2,2020-11-02,395.4599914550781
3,2020-11-02,397.6000061035156
4,2020-11-02,395.2699890136719
5,2020-11-02,396.84991455078125
6,2020-11-02,399.7149963378906
7,2020-11-03,409.7300109863281
8,2020-11-03,422.69000244140625
9,2020-11-03,422.5
10,2020-11-03,422.80999755859375
11,2020-11-03,422.44000244140625
12,2020-11-03,422.57501220703125
13,2020-11-03,422.6400146484375
14,2020-11-04,428.7579040527344
15,2020-11-04,425.0299987792969
16,2020-11-04,421.8599853515625
17,2020-11-04,423.7099914550781
18,2020-11-04,422.5899963378906
19,2020-11-04,420.70001220703125
20,2020-11-04,420.20001220703125
21,2020-11-05,428.29998779296875
22,2020-11-05,432.8299865722656
23,2020-11-05,432.2049865722656
24,2020-11-05,430.29998779296875
25,2020-11-05,432.1000061035156
26,2020-11-05,432.1000061035156
27,2020-11-05,435.92999267578125
28,2020-11-06,434.40399169921875
29,2020-11-06,429.3800048828125
30,2020-11-06,430.45001220703125
31,2020-11-06,429.57000732421875
32,2020-11-06,429.79998779296875
33,2020-11-06,429.0950012207031
34,2020-11-06,428.06939697265625
35,2020-11-09,439.5
36,2020-11-09,446.5
37,2020-11-09,440.6607971191406
38,2020-11-09,438.04998779296875
39,2020-11-09,431.82000732421875
40,2020-11-09,430.2099914550781
41,2020-11-09,427.6199951171875
42,2020-11-10,420.0899963378906
43,2020-11-10,404.2799987792969
44,2020-11-10,407.2300109863281
45,2020-11-10,410.4045104980469
46,2020-11-10,409.875
47,2020-11-10,407.44000244140625
48,2020-11-10,409.5274963378906
49,2020-11-11,416.45001220703125
50,2020-11-11,416.8699951171875
51,2020-11-11,414.07000732421875
52,2020-11-11,414.6033020019531
53,2020-11-11,414.7799987792969
54,2020-11-11,416.0
55,2020-11-11,415.6000061035156
56,2020-11-12,415.04998779296875
57,2020-11-12,420.3009948730469
58,2020-11-12,417.010009765625
59,2020-11-12,415.2300109863281
60,2020-11-12,411.2491149902344
61,2020-11-12,410.96099853515625
62,2020-11-12,411.8572082519531
63,2020-11-13,408.1650085449219
64,2020-11-13,406.74560546875
65,2020-11-13,406.3299865722656
66,2020-11-13,404.1449890136719
67,2020-11-13,403.8599853515625
68,2020-11-13,402.6700134277344
69,2020-11-13,405.8500061035156
70,2020-11-16,407.0116882324219
71,2020-11-16,411.25
72,2020-11-16,406.3299865722656
73,2020-11-16,408.0299987792969
74,2020-11-16,406.7500915527344
75,2020-11-16,409.04998779296875
76,2020-11-16,407.885009765625
77,2020-11-17,460.1700134277344
78,2020-11-17,447.8550109863281
79,2020-11-17,436.1199951171875
80,2020-11-17,442.4800109863281
81,2020-11-17,447.79998779296875
82,2020-11-17,445.2897033691406
83,2020-11-17,440.5
84,2020-11-18,448.3500061035156
85,2020-11-18,454.7900085449219
86,2020-11-18,459.7506103515625
87,2020-11-18,475.6199951171875
88,2020-11-18,483.6000061035156
89,2020-11-18,486.760009765625
90,2020-11-18,494.54901123046875
91,2020-11-19,490.93011474609375
92,2020-11-19,503.0
93,2020-11-19,505.3999938964844
94,2020-11-19,495.5199890136719
95,2020-11-19,497.55999755859375
96,2020-11-19,502.19500732421875
97,2020-11-19,497.55999755859375
98,2020-11-20,497.6499938964844
99,2020-11-20,497.7099914550781
100,2020-11-20,491.9100036621094
101,2020-11-20,493.1325988769531
102,2020-11-20,492.9012145996094
103,2020-11-20,493.0899963378906
104,2020-11-20,492.2300109863281
105,2020-11-23,508.0
106,2020-11-23,518.72998046875
107,2020-11-23,520.7700805664062
108,2020-11-23,517.594970703125
109,2020-11-23,521.0599975585938
110,2020-11-23,522.3369750976562
111,2020-11-23,525.1900024414062
112,2020-11-24,540.4000244140625
113,2020-11-24,539.2000122070312
114,2020-11-24,545.4000244140625
115,2020-11-24,546.8900146484375
116,2020-11-24,547.6500854492188
117,2020-11-24,554.0399780273438
118,2020-11-24,555.8358764648438
119,2020-11-25,550.0599975585938
120,2020-11-25,553.47998046875
121,2020-11-25,563.9027709960938
122,2020-11-25,564.0
123,2020-11-25,571.7899780273438
124,2020-11-25,569.0
125,2020-11-25,571.2000122070312
126,2020-11-27,581.1599731445312
127,2020-11-27,594.780029296875
128,2020-11-27,589.9022216796875
129,2020-11-27,587.280029296875
130,2020-11-30,603.0
131,2020-11-30,570.0900268554688
132,2020-11-30,578.864990234375
133,2020-11-30,583.2650146484375
134,2020-11-30,579.8800048828125
135,2020-11-30,580.3800048828125
136,2020-11-30,578.8599853515625
137,2020-12-01,591.0800170898438
138,2020-12-01,581.5072021484375
139,2020-12-01,581.0
140,2020-12-01,582.52001953125
141,2020-12-01,582.260009765625
142,2020-12-01,577.6953735351562
143,2020-12-01,581.6500244140625
144,2020-12-02,556.4400024414062
145,2020-12-02,567.1099853515625
146,2020-12-02,568.9299926757812
147,2020-12-02,567.3712158203125
148,2020-12-02,561.1032104492188
149,2020-12-02,560.1199951171875
150,2020-12-02,565.572509765625
151,2020-12-03,586.3914794921875
152,2020-12-03,588.1649169921875
153,2020-12-03,587.3701171875
154,2020-12-03,592.52001953125
155,2020-12-03,594.110107421875
156,2020-12-03,596.4998779296875
157,2020-12-03,594.844970703125
158,2020-12-04,591.010009765625
159,2020-12-04,591.8599853515625
160,2020-12-04,591.3978881835938
161,2020-12-04,593.530029296875
162,2020-12-04,593.1400146484375
163,2020-12-04,592.6199951171875
164,2020-12-04,594.2150268554688
165,2020-12-07,604.919677734375
166,2020-12-07,624.2899780273438
167,2020-12-07,626.4503173828125
