,Date,HourlyPrice
199,2020-11-09,15023.55
200,2020-11-09,15094.62
201,2020-11-09,15302.33
202,2020-11-09,15808.71
203,2020-11-09,15522.35
204,2020-11-09,15425.04
205,2020-11-09,15407.67
206,2020-11-09,15325.26
207,2020-11-09,15397.82
208,2020-11-09,15484.1
209,2020-11-09,15392.35
210,2020-11-09,15460.55
211,2020-11-09,15484.06
212,2020-11-09,15526.45
213,2020-11-09,15558.38
214,2020-11-09,15488.25
215,2020-11-09,15480.68
216,2020-11-10,15314.15
217,2020-11-10,15321.16
218,2020-11-10,15297.27
219,2020-11-10,15180.47
220,2020-11-10,15380.54
221,2020-11-10,15317.29
222,2020-11-10,15281.97
223,2020-11-10,15316.08
224,2020-11-10,15293.7
225,2020-11-10,15260.04
226,2020-11-10,15334.06
227,2020-11-10,15236.66
228,2020-11-10,15385.38
229,2020-11-10,15255.27
230,2020-11-10,15335.03
231,2020-11-10,15307.09
232,2020-11-10,15399.02
233,2020-11-10,15354.0
234,2020-11-10,15400.98
235,2020-11-10,15394.75
236,2020-11-10,15371.42
237,2020-11-10,15297.28
238,2020-11-10,15299.52
239,2020-11-10,15344.93
240,2020-11-11,15629.68
241,2020-11-11,15826.93
242,2020-11-11,15736.21
243,2020-11-11,15814.48
244,2020-11-11,15821.17
245,2020-11-11,15879.9
246,2020-11-11,15776.51
247,2020-11-11,15681.65
248,2020-11-11,15650.39
249,2020-11-11,15564.26
250,2020-11-11,15589.53
251,2020-11-11,15587.96
252,2020-11-11,15438.7
253,2020-11-11,15400.1
254,2020-11-11,15413.14
255,2020-11-11,15363.24
256,2020-11-11,15382.89
257,2020-11-11,15386.61
258,2020-11-11,15420.37
259,2020-11-11,15396.62
260,2020-11-11,15454.8
261,2020-11-11,15471.4
262,2020-11-11,15313.73
263,2020-11-11,15383.14
264,2020-11-12,16012.99
265,2020-11-12,16004.8
266,2020-11-12,16154.3
267,2020-11-12,16148.12
268,2020-11-12,16153.55
269,2020-11-12,16116.57
270,2020-11-12,16083.6
271,2020-11-12,16158.33
272,2020-11-12,15906.75
273,2020-11-12,15968.58
274,2020-11-12,15781.82
275,2020-11-12,15641.86
276,2020-11-12,16058.29
277,2020-11-12,15716.01
278,2020-11-12,15802.05
279,2020-11-12,15632.46
280,2020-11-12,15659.38
281,2020-11-12,15661.59
282,2020-11-12,15707.08
283,2020-11-12,15767.16
284,2020-11-12,15813.74
285,2020-11-12,15881.05
286,2020-11-12,15810.71
287,2020-11-12,15679.83
288,2020-11-13,16332.93
289,2020-11-13,16107.61
290,2020-11-13,16218.21
291,2020-11-13,16243.52
292,2020-11-13,16253.91
293,2020-11-13,16231.99
294,2020-11-13,16214.66
295,2020-11-13,16269.33
296,2020-11-13,16413.32
297,2020-11-13,16322.25
298,2020-11-13,16246.84
299,2020-11-13,16412.77
300,2020-11-13,16445.76
301,2020-11-13,16445.99
302,2020-11-13,16398.77
303,2020-11-13,16306.53
304,2020-11-13,16236.68
305,2020-11-13,16274.12
306,2020-11-13,16194.83
307,2020-11-13,16251.7
308,2020-11-13,16297.6
309,2020-11-13,16207.84
310,2020-11-13,16284.39
311,2020-11-13,16258.7
312,2020-11-14,15993.99
313,2020-11-14,15996.12
314,2020-11-14,15891.0
315,2020-11-14,15908.68
316,2020-11-14,15914.14
317,2020-11-14,15862.98
318,2020-11-14,15956.96
319,2020-11-14,15932.69
320,2020-11-14,15916.8
321,2020-11-14,15941.47
322,2020-11-14,15854.94
323,2020-11-14,16018.76
324,2020-11-14,15966.95
325,2020-11-14,15798.99
326,2020-11-14,16332.85
327,2020-11-14,16293.52
328,2020-11-14,16204.32
329,2020-11-14,16182.04
330,2020-11-14,16318.41
331,2020-11-14,16148.47
332,2020-11-14,16172.12
333,2020-11-14,16182.76
334,2020-11-14,16097.25
335,2020-11-14,16191.47
336,2020-11-15,15971.3
337,2020-11-15,15852.4
338,2020-11-15,15862.31
339,2020-11-15,15878.07
340,2020-11-15,15914.22
341,2020-11-15,15892.81
342,2020-11-15,16010.42
343,2020-11-15,16033.17
344,2020-11-15,16053.04
345,2020-11-15,15989.56
346,2020-11-15,16000.93
347,2020-11-15,16059.64
348,2020-11-15,16125.7
349,2020-11-15,16075.95
350,2020-11-15,16052.35
351,2020-11-15,15988.7
352,2020-11-15,15985.64
353,2020-11-15,15937.02
354,2020-11-15,16077.1
355,2020-11-15,16023.81
356,2020-11-15,16039.59
357,2020-11-15,16055.93
358,2020-11-15,16036.7
359,2020-11-15,15941.52
360,2020-11-16,16235.95
361,2020-11-16,16828.24
362,2020-11-16,16782.71
363,2020-11-16,16687.61
364,2020-11-16,16677.51
365,2020-11-16,16570.54
366,2020-11-16,16443.82
367,2020-11-16,16405.65
368,2020-11-16,16320.5
369,2020-11-16,16313.06
